Type,Reference,Filename,Columns,Dictionary,Labels,ExcludedSDBs,OrderTable
SNA,BSA,20211216-87SCsnaBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
CD22,BSA,20211216-87SCkhBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
CD22 cell,CD-negative,20211216-87KEkhZW-MS,"3,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
CD-negative,,20211216-87KErbZW-MS,"3,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
ConA,BSA,20211216-87SCcaBI-CT,"3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
ConA,BSA,20220219-87SCcaBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
LCA,BSA,20220219-87SClaaBI-CT,"1,2,3,4,5,6",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
PSA,BSA,20220219-87SCqbBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
GNL,BSA,20220314-87SCgnlBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
DC-SIGN,DC-SIGN-neg,20220314-87SCrdZW-MS,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
DC-SIGN-neg,,20220314-87SCrfZW-MS,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
ECL 10 µg,April-BSA,20220408-87SCeaaBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
ECL 20 µg,BSA,20220219-87SCeaaBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
RCA 1 µg,April-BSA,20220408-87SCrcaaBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
RCA 20 µg,BSA,20211216-87SCrcaaBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
WGA 1 µg,BSA,20220314-87SCwgacBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
WGA 5 µg,BSA,20220314-87SCwgabBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
WGA 10 µg,BSA,20220314-87SCwgaaBI-CT,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
WGA 20 µg,BSA,20220219-87SCwgaBI-CT,"1,2,3,4,5,6,7,8,9,10,11",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
BSA,,20211216-87SCbsBI-CT,"2,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
BSA,,20220219-87SCbsBI-CT,"2,6,8,10,11,12,20",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
BSA,,20220219-87TCbsBI-CT,"7,8,9",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
April-BSA,,20220408-87SCbsBI-CT,"1,2,3,4,5,6,7,8,9,10",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
Naïve,,20220219-87SCooNA-CT,"1,2,3,4",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
Naïve,,20220219-87SCooNA-MS,"1,2,3,4,5",SC-6,Axis.name,"SDB3,SDB93,SDB41,SDB139",All-Axis
